0,1
" I'm a company of 10 , then I become 20 , then I become 50  do I need to upgrade ",0
" okay , these are the major chunks looking for something is pushed out to the web or any other form open ",0
" that might be something you , but for now we're kind of doing the whole shebang until until the change strategy , we might put it in the toilet on Marketplace to see what happens , but it's something but yeah ",0
 the other thing I wanted to add is if you can make a little place for live transcription ,0
" whatever message you want to say , but then what happens is that here or time people can forget Twitter what is called the Hop ",0
" the basis for this is , in my opinion , the thesis ",0
" pushing out information to relevant process flows is interesting is partly as well that I've seen I've seen a summary applications already any differences in our lives , because this no need to be life and they do which one I like I , don't think ",0
 but but I was like I said : I'm ,0
" yes , listen to the system once you create a mean , the punctuation that dead language mall is going to go , live in the closet class introduction for everything  Google is very nice ",0
 you see why it's so don't know how bad this is harder ,0
" what taking the most annoying tedious part about your job ? is : writing up these little like summery type emails and doing it for you not to do anything fun , fighting Jam , move on to the next ",0
" we got to say it's customer Obsession , but it's one of you guys ",0
" the funnel and closing is , is a little bit different , probably going to Consumer play it's more Hands-On you're trying to get demos rather than sign up , but both have valid claims to to to being there cuz , we started off as a consumer app the kind of just recording your meetings , you press the button every time you had something important and basically that gave you an way to play back those moments ",0
" it was Sonia that they sell to customers and is around it is in the pharmacy and they said what they do is their hired by Pharma company , where , like they would record all the patients doctor conversation around a person and then what they would do if they was find out what this drug ",0
" you can share a specific highlight , are you can add people to because they do a lot of peer-to-peer pushing buttons I at home life is going to be not in a formal setting , but one of those I can like the sharing and stuff to be more enable , instead of because I know they do anecdote each other and says listening to the audio cuz , it's very difficult to control what they do ",0
" so is there no way to keep it open ? basically , we can try to open a stop ",0
action item bass title and the application name to be added ,1
" what we using is Chrome internet capabilities , there's more to that we can play around with and that's what Roman is going to do ",0
 I think we can Normally ,0
" how would you allow us to validate and sell a from that point in terms of customer validation ? I've done this before I'm , not looking to call them and the see if it works , I just need to know IBM real customers ",0
 can you can you refresh you sound like the Matrix ? we can ,0
" As possible , because I don't know how to run product at the scale that David does like I , clearly have never done it at that scale and only done it for our startup ",0
" instead of doing all this work for you , so so they can go again ",0
" I always think something is wrong , yeah , so so what we do post-processing ",0
" oh , that's of course that was written , Unwritten text yeah , so we we've built Concepts summarization  then that's really accurate ",0
